predict_pm25,predict_pm10,predict_no2,predict_co,predict_so2,predict_o3,predict_aqi,predict_temp,predict_hum
9.0087385,10.512888,0.19003472,0.22052616,0.8700417,1.8455541,37.536407,25.901005,49.986385
9.498767,10.610315,0.1999842,0.22064163,0.8999213,1.8714247,39.578194,25.897846,49.91019
9.298953,10.3993435,0.19003472,0.20843166,0.8999213,1.9305806,38.745636,25.899494,49.999054
9.900025,11.2999935,0.18003128,0.2094515,0.8800003,1.8297503,41.250103,25.899998,49.99942
9.699005,10.800437,0.1999842,0.22064163,0.88999504,1.8702283,40.41252,25.901041,50.000286
9.888726,11.097696,0.1999842,0.20174614,0.8700417,1.8342879,41.203026,25.79354,49.807457
9.184519,10.307945,0.18003128,0.20843166,0.8800003,1.7785001,38.268826,25.79479,49.73212
8.900428,9.899605,0.18003128,0.20061083,0.8999213,1.8393751,37.085114,25.798471,49.7004
9.800037,10.901971,0.19003472,0.2094515,0.8999213,1.8119402,40.83349,25.701525,49.800915
9.999357,11.098961,0.19003472,0.2094515,0.88999504,1.7786815,41.663986,25.59965,49.79999
9.701346,10.799853,0.1999842,0.2007263,0.86004335,1.7299738,40.422276,25.599607,49.899998
9.701625,10.8003025,0.19003472,0.2007263,0.8800003,1.7792075,40.423435,25.599607,49.997868
9.399789,10.699793,0.19003472,0.20054734,0.8800003,1.7511833,39.165787,25.50215,50.102184
9.398069,10.500045,0.19003472,0.20054734,0.86004335,1.6895679,39.158623,25.50215,50.19776
9.7995,10.901782,0.19003472,0.20089753,0.88999504,1.7187477,40.83125,25.387802,50.181072
9.70012,10.699467,0.18003128,0.18896192,0.8800003,1.7697978,40.417164,25.396992,50.201458
9.999931,11.20071,0.19003472,0.20089753,0.86004335,1.6702323,41.666378,25.39868,50.301476
9.599886,10.698748,0.18003128,0.18947925,0.88999504,1.7500799,39.999523,25.29973,50.39537
9.799885,10.99955,0.19003472,0.18957628,0.8800003,1.7197828,40.83285,25.300575,50.49958
9.301036,10.299985,0.19003472,0.18947925,0.86004335,1.6412568,38.754314,25.300228,50.49976
9.300643,10.30151,0.18003128,0.18052982,0.88999504,1.7102547,38.752678,25.300446,50.500866
9.305088,10.301952,0.19003472,0.18052982,0.86004335,1.6781735,38.7712,25.299065,50.599197
9.301036,10.299985,0.1999842,0.19027767,0.8501523,1.6287122,38.754314,25.300228,50.50082
9.499553,10.601746,0.18003128,0.18947925,0.88999504,1.6915205,39.581467,25.29973,50.500835
9.799789,10.899961,0.18003128,0.18062685,0.88999504,1.6795261,40.832455,25.299929,50.499634
9.899672,11.099299,0.18003128,0.1903747,0.8501523,1.6101371,41.24863,25.300781,50.49996
9.499946,10.600221,0.19003472,0.18947925,0.8800003,1.6575103,39.583107,25.198135,50.499992
9.000177,9.999662,0.18003128,0.16968302,0.88999504,1.6797143,37.500736,25.200024,50.600677
8.899283,9.999662,0.19003472,0.18875523,0.88999504,1.6803164,37.080345,25.200012,50.699535
9.301208,10.301289,0.19003472,0.18947925,0.92986923,1.7205039,38.75503,25.198502,50.599625
9.098971,10.09969,0.18003128,0.17992456,0.8999213,1.6305315,37.91238,25.198513,50.597973
9.388868,10.499078,0.19003472,0.17011498,0.92986923,1.7307904,39.120285,25.100082,50.60721
9.098789,10.197659,0.18003128,0.17975126,0.9199371,1.7202526,37.91162,25.100891,50.60034
9.397505,10.499667,0.19003472,0.16063568,0.8999213,1.6805065,39.15627,25.100082,50.699997
9.598601,10.799525,0.19003472,0.18035652,0.92986923,1.7498279,39.99417,25.099836,50.699856
9.999216,11.399146,0.18003128,0.17021202,0.92986923,1.719701,41.6634,25.101055,50.69944
9.899353,11.099137,0.18003128,0.18045355,0.8999213,1.6769338,41.247303,25.10204,50.801243
9.60035,10.699438,0.19003472,0.17011498,0.9199371,1.7207807,40.001457,25.100082,50.803734
9.601613,10.601365,0.19003472,0.17011498,0.9199371,1.7590172,40.006718,25.100082,50.700546
9.501138,10.499667,0.19003472,0.17011498,0.8999213,1.6814039,39.588074,25.100082,50.698936
9.5013,10.499667,0.19003472,0.18035652,0.9199371,1.6976881,39.58875,25.100082,50.600037
9.100313,10.09969,0.18003128,0.16003042,0.8999213,1.6500677,37.91797,25.100891,50.501266
8.898703,10.195264,0.18003128,0.16003042,0.8999213,1.6448461,37.077927,25.102762,50.502045
9.003513,10.196427,0.18003128,0.16950972,0.92986923,1.691898,37.514637,25.100891,50.501457
9.502337,10.603149,0.19003472,0.18035652,0.8999213,1.6817861,39.59307,24.982096,50.69189
9.191984,10.306934,0.19003472,0.16075444,0.9100603,1.7787429,38.299934,24.984491,50.699516
8.499365,9.6988325,0.19003472,0.16003042,0.9199371,1.7190073,35.41402,24.998928,50.699596
8.3998165,9.402085,0.18003128,0.16003042,0.9199371,1.7109058,34.999233,24.99899,50.699436
8.199725,9.200275,0.19003472,0.16950972,0.9100603,1.7795454,34.16552,24.902065,50.70022
8.783685,10.197659,0.18003128,0.16950972,0.9100603,1.752939,36.598686,24.899931,50.81092
8.899826,10.197231,0.19003472,0.16003042,0.8999213,1.711005,37.082607,24.89895,50.899246
9.315296,11.003815,0.19003472,0.16063568,0.9199371,1.7639346,38.813732,24.90015,50.899708
9.101086,10.200488,0.19003472,0.16950972,0.9199371,1.8105514,37.92119,24.89982,50.899803
9.098738,10.100707,0.18003128,0.16003042,0.88999504,1.7608309,37.911407,24.899569,50.899803
9.000307,9.999866,0.18003128,0.16003042,0.9100603,1.7798474,37.501278,24.800863,50.90047
9.189327,10.193229,0.19003472,0.17023374,0.8999213,1.7795409,38.28886,24.801071,50.899742
9.100418,10.100679,0.19003472,0.16003042,0.88999504,1.7384033,37.918407,24.699266,51.00129
9.199078,10.300867,0.19003472,0.17023374,0.9199371,1.7597417,38.329487,24.80008,51.099583
9.509033,10.606058,0.19003472,0.14988449,0.8999213,1.7144945,39.62097,24.80221,51.092
9.499425,10.600242,0.19003472,0.17011498,0.86004335,1.649951,39.580936,24.800186,51.00004
9.505886,10.604151,0.24992214,0.22080669,0.8999213,1.7536405,39.607857,24.797134,51.00153
8.900573,10.301416,0.259928,0.23969671,0.8799471,1.6308813,37.08572,24.800991,50.899258
8.602842,9.809564,0.24992214,0.22069122,0.8800003,1.5484893,35.845177,24.802412,50.80041
8.798491,9.799799,0.24992214,0.2298461,0.8800003,1.5489287,36.660378,24.800716,50.80107
8.600093,9.801389,0.24992214,0.2298461,0.8700417,1.5008256,35.833717,24.699585,50.80041
8.599678,10.199329,0.259928,0.2298461,0.88999504,1.5487807,35.83199,24.699429,50.799515
9.001864,10.3981,0.2399046,0.20077589,0.8800003,1.4997874,37.507767,24.699163,50.89971
9.599502,10.699853,0.2399046,0.21009432,0.8501523,1.459964,39.99792,24.600304,50.999454
9.500317,10.500315,0.259928,0.22080669,0.88999504,1.5002759,39.584652,24.600304,51.000084
8.906716,9.892738,0.2399046,0.2298461,0.88999504,1.4582037,37.111317,24.600645,51.098026
8.701022,9.899549,0.24992214,0.22069122,0.8700417,1.4208745,36.254257,24.600056,51.09895
8.600788,9.997515,0.24992214,0.20077589,0.88999504,1.4578425,35.836617,24.503496,51.079662
8.799121,9.896759,0.259928,0.22069122,0.88999504,1.4289618,36.663002,24.59999,51.09964
